state,district,crop,modal_price,min_price,max_price,date
Rajasthan,Chittorgarh,Wheat,2250.0,2200,2300,2023-10-01
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2050.0,2000,2100,2023-10-01
Punjab,Ludhiana,Wheat,2400.0,2350,2450,2023-10-01
Rajasthan,Chittorgarh,Wheat,2250.0,,,
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2050.0,,,
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2040.0,,,
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2060.0,,,
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2040.0,,,
Andhra Pradesh,Guntur,Black Gram (Urd Beans)(Whole),8200.0,,,
Andhra Pradesh,Kurnool,Jowar(Sorghum),3060.0,,,
Andhra Pradesh,Kurnool,Maize,1962.0,,,
Andhra Pradesh,Kurnool,Paddy(Dhan)(Common),2040.0,,,
Andhra Pradesh,Kurnool,Bengal Gram(Gram)(Whole),5335.0,,,
Andhra Pradesh,Kurnool,Maize,1962.0,,,
Andhra Pradesh,Kurnool,Paddy(Dhan)(Common),2040.0,,,
Chattisgarh,Balodabazar,Paddy(Dhan)(Common),1355.0,,,
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1500.0,,,
Chattisgarh,Dhamtari,Maize,2000.0,,,
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1500.0,,,
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1550.0,,,
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1800.0,,,
Chattisgarh,Kabirdham,Wheat,2200.0,,,
Chattisgarh,Kanker,Maize,1550.0,,,
Chattisgarh,Kanker,Paddy(Dhan)(Common),2000.0,,,
Chattisgarh,Kanker,Maize,1550.0,,,
Chattisgarh,Kanker,Paddy(Dhan)(Common),2000.0,,,
Chattisgarh,Kanker,Paddy(Dhan)(Common),2000.0,,,
Chattisgarh,Kanker,Paddy(Dhan)(Common),1500.0,,,
Chattisgarh,Koria,Maize,1965.0,,,
Chattisgarh,Koria,Wheat,2130.0,,,
Chattisgarh,Mungeli,Paddy(Dhan)(Common),1820.0,,,
Chattisgarh,Mungeli,Paddy(Dhan)(Common),1770.0,,,
Chattisgarh,Raipur,Paddy(Dhan)(Common),2100.0,,,
Chattisgarh,Surajpur,Maize,2000.0,,,
Chattisgarh,Surajpur,Maize,1965.0,,,
Gujarat,Amreli,Arhar (Tur/Red Gram)(Whole),8250.0,,,
Gujarat,Amreli,Bengal Gram(Gram)(Whole),4900.0,,,
Gujarat,Amreli,Cotton,6895.0,,,
Gujarat,Amreli,Green Gram (Moong)(Whole),7500.0,,,
Gujarat,Amreli,Jowar(Sorghum),4375.0,,,
Gujarat,Amreli,Wheat,2555.0,,,
Gujarat,Amreli,Wheat,2480.0,,,
Gujarat,Amreli,Cotton,7175.0,,,
Gujarat,Amreli,Arhar (Tur/Red Gram)(Whole),8525.0,,,
Gujarat,Amreli,Bengal Gram(Gram)(Whole),4585.0,,,
Gujarat,Amreli,Cotton,5850.0,,,
Gujarat,Amreli,Jowar(Sorghum),3360.0,,,
Gujarat,Amreli,Bajra(Pearl Millet/Cumbu),2003.0,,,
Gujarat,Amreli,Bengal Gram(Gram)(Whole),4593.0,,,
Gujarat,Amreli,Cotton,6903.0,,,
Gujarat,Amreli,Jowar(Sorghum),3600.0,,,
Gujarat,Amreli,Wheat,2503.0,,,
Gujarat,Amreli,Wheat,2460.0,,,
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),2225.0,,,
Gujarat,Banaskanth,Mustard,5305.0,,,
Gujarat,Banaskanth,Wheat,2175.0,,,
