state,district,crop,modal_price,min_price,max_price,date,month,day_of_week,price_lag_1,price_lag_7,price_lag_30,rolling_mean_7,rolling_std_7,price_direction
Rajasthan,Chittorgarh,Wheat,2250.0,,,2016-12-18 00:09:21.221315,12,6,2250.0,2250.0,2250.0,2250.0,0.0,0
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2050.0,,,2016-12-19 00:09:21.221315,12,0,2050.0,2050.0,2050.0,2050.0,0.0,0
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2040.0,,,2016-12-20 00:09:21.221315,12,1,2050.0,2040.0,2040.0,2045.0,7.0710678118654755,0
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2060.0,,,2016-12-21 00:09:21.221315,12,2,2040.0,2060.0,2060.0,2050.0,10.0,1
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2040.0,,,2016-12-22 00:09:21.221315,12,3,2060.0,2040.0,2040.0,2047.5,9.574271077563381,0
Andhra Pradesh,Guntur,Black Gram (Urd Beans)(Whole),8200.0,,,2016-12-23 00:09:21.221315,12,4,8200.0,8200.0,8200.0,8200.0,0.0,0
Andhra Pradesh,Kurnool,Jowar(Sorghum),3060.0,,,2016-12-24 00:09:21.221315,12,5,3060.0,3060.0,3060.0,3060.0,0.0,0
Andhra Pradesh,Kurnool,Maize,1962.0,,,2016-12-25 00:09:21.221315,12,6,1962.0,1962.0,1962.0,1962.0,0.0,0
Andhra Pradesh,Kurnool,Paddy(Dhan)(Common),2040.0,,,2016-12-26 00:09:21.221315,12,0,2040.0,2040.0,2040.0,2040.0,0.0,0
Andhra Pradesh,Kurnool,Bengal Gram(Gram)(Whole),5335.0,,,2016-12-27 00:09:21.221315,12,1,5335.0,5335.0,5335.0,5335.0,0.0,0
Andhra Pradesh,Kurnool,Maize,1962.0,,,2016-12-28 00:09:21.221315,12,2,1962.0,1962.0,1962.0,1962.0,0.0,0
Andhra Pradesh,Kurnool,Paddy(Dhan)(Common),2040.0,,,2016-12-29 00:09:21.221315,12,3,2040.0,2040.0,2040.0,2040.0,0.0,0
Chattisgarh,Balodabazar,Paddy(Dhan)(Common),1355.0,,,2016-12-30 00:09:21.221315,12,4,1355.0,1355.0,1355.0,1355.0,0.0,0
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1500.0,,,2016-12-31 00:09:21.221315,12,5,1500.0,1500.0,1500.0,1500.0,0.0,0
